author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
Ryan Barrell,Contributor,0,602.0,40.0,g,Easy,"This quick and simple dish is a perfect meal to spice up your weeknights, or would be a wonderful weekend brunch option to kick off the day. If you can’t find chard, any sturdy greens like kale should work.",Spicy pan-fried chickpeas with beef,34.0,g,22,"['canned chickpeas', 'ground beef', 'chili', 'garlic', 'parsley', 'lemon', 'water', 'full-fat plain yogurt', 'ras el hanout', 'ground cumin', 'ground cinnamon', 'Swiss chard', 'salt', 'pepper', 'olive oil', 'rice (cooked', ' for serving)', 'sumac (for serving)']","['400.0', '250.0', '1.0', '2.0', '20.0', '1.0', '250.0', '250.0', '1.0', '0.5', '0.25', '100.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'cloves', 'g', 'ml', 'ml', 'tsp', 'tsp', 'g', '', '', '', '', '', '', '', '']",30,38.0,g,4.0,0,28.0,2,5.0,4966,"['knife', 'cutting board', 'sieve', 'fine grater', 'citrus press', 'bowl', 'frying pan (large)', 'spatula', 'frying pan']",30
Vanessa Pass,Contributor,0,684.0,66.0,g,Easy,"Crunchy peppers, tender meat, and a creamy sauce are, in my opinion, the most important ingredients for a quick and delicious dinner. Searing the turkey and setting it aside while you cook the other ingredients ensures the meat stays tender.",Creamy turkey and bell pepper over rice,29.0,g,128,"['turkey breasts', 'red bell pepper', 'basmati rice', 'onion', 'parsley', 'flour', 'sweet paprika powder', 'hot paprika powder', 'chicken stock', 'heavy cream', 'soy sauce', 'sugar', 'ajvar', 'salt', 'pepper', 'vegetable oil (for frying)']","['250.0', '1.0', '120.0', '1.0', '1.0', '1.0', '0.5', '0.5', '150.0', '100.0', '1.0', '0.25', '1.0', '0.0', '0.0', '0.0']","['g', 'g', 'sprig', 'tbsp', 'tsp', 'tsp', 'ml', 'ml', 'tbsp', 'tsp', 'tsp', '', '', '', '', '']",25,37.0,g,5.0,0,122.0,2,4.0,16334,"['cutting board', 'knife', 'pot', 'frying pan', 'tongs', 'rubber spatula']",25
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,749.0,112.0,g,Easy,"I love to cook dishes by color and this yellow gazpacho is the best example for it! The soup's base is sweet corn, but the yellow tomatoes enhance the typical sweet and sour taste of a gazpacho. I'd recommend to prepare this soup a day in advance. When it rests overnight, all the flavors can develop even more and you can enjoy the most delicious gazpacho!",Sweet corn gazpacho,23.0,g,28,"['sweet corn (cooked)', 'yellow bell pepper', 'chili', 'onion', 'cucumber', 'garlic', 'yellow tomatoes', 'olive oil', 'white wine vinegar', 'water', 'basil', 'croutons', 'yogurt', 'salt', 'pepper', 'yogurt (for serving)', 'olive oil (for serving)']","['4.0', '1.0', '1.0', '1.0', '0.5', '1.0', '250.0', '2.0', '2.0', '200.0', '2.0', '50.0', '4.0', '0.0', '0.0', '0.0', '0.0']","['cobs', 'clove', 'g', 'tbsp', 'tbsp', 'ml', 'sprigs', 'g', 'tbsp', '', '', '', '', '', '', '', '']",15,19.0,g,4.5,60,27.0,2,3.0,5600,"['2 cutting boards', '2 knives', 'peeler', 'blender']",75
Devan Grimsrud,Managing Editor at Kitchen Stories,35,683.0,19.0,g,Easy,,"5-ingredient sheet pan chicken with leeks, potatoes, and caper butter",47.0,g,18,"['chicken legs', 'leeks', 'waxy potatoes', 'capers', 'butter', 'lemon', 'olive oil', 'salt', 'pepper', 'baguette (for serving)']","['3.0', '2.0', '250.0', '2.0', '3.0', '1.0', '0.0', '0.0', '0.0', '0.0']","['g', 'tbsp', 'tbsp', '', '', '', '', '', '', '']",10,44.0,g,4.5,0,17.0,4,2.0,3155,"['2 bowls', 'baking sheet', 'oven', 'cutting board', 'knife']",45
Alex Hiller,Contributor,0,763.0,50.0,g,Easy,,Chicken and cheddar quesadillas with salad,40.0,g,49,"['wheat tortillas', 'chicken breasts', 'cheddar (shredded)', 'bell pepper (red)', 'cucumber', 'cilantro', 'limes (zest + juice)', 'mint', 'red onion', 'green  onions', 'avocado', 'yogurt', 'corn', 'paprika powder', 'oil for frying and greasing', 'salt', 'pepper']","['4.0', '2.0', '250.0', '2.0', '1.0', '20.0', '2.0', '20.0', '1.0', '3.0', '1.0', '100.0', '100.0', '2.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'g', 'tbsp', '', '', '', '', '', '', '', '', '', '', '']",30,48.0,g,4.5,0,92.0,4,4.0,15379,"['mixing bowl', 'fine grater', 'citrus press', 'cutting board', 'knife', 'large frying pan']",30
Enikö Gruber,Contributor,30,983.0,82.0,g,Medium,,"Pumpkin gnocchi with sage butter, walnuts, and smoked bacon",66.0,g,45,"['Hokkaido pumpkin', 'sage', 'walnuts', 'smoked bacon (diced)', 'potatoes', 'potato starch', 'cornmeal', 'Parmesan cheese (grated)', 'egg yolk', 'ricotta cheese', 'garlic', 'olive oil', 'butter', 'salt', 'pepper', 'ground caraway', 'ground nutmeg', 'flour for dusting']","['1.0', '20.0', '70.0', '150.0', '300.0', '200.0', '8.0', '50.0', '1.0', '1.0', '2.0', '1.0', '50.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['kg', 'leaves', 'g', 'g', 'g', 'g', 'tbsp', 'g', 'tbsp', 'cloves', 'tbsp', 'g', '', '', '', '', '', '']",60,15.0,g,5.0,0,34.0,4,7.0,9492,"['baking sheet', 'oven', 'cutting board', 'knife', 'peeler', 'potato masher', 'pot', 'large bowl', 'colander', 'garlic press', 'immersion blender', 'rubber spatula', 'slotted spoon', 'large frying pan', 'cooking spoon', 'grater']",90
Kristin Bothor,Managing Editor at Kitchen Stories,45,728.0,96.0,g,Medium,A great comfort food for cold winter days. The gnocchi made of roasted carrots and ricotta chime perfectly with the mint pesto and hot honey.,Carrot-ricotta gnocchi with mint pesto and hot honey,34.0,g,14,"['carrots', 'ricotta cheese', 'mint', 'Langnese Acacia Honey', 'chili flakes', 'egg', 'starch', 'flour', 'olive oil', 'pine nuts (toasted)', 'Pecorino cheese', 'lemon juice', 'salt', 'pepper', 'olive oil', 'flour (for dusting)', 'ricotta cheese (for serving)']","['800.0', '150.0', '120.0', '150.0', '0.5', '1.0', '2.0', '200.0', '100.0', '30.0', '25.0', '2.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'tsp', 'tbsp', 'g', 'ml', 'g', 'g', 'tsp', '', '', '', '', '', '']",45,15.0,g,4.0,0,15.0,4,7.0,3147,"['oven', 'peeler', '1 baking sheet', '1 saucepan (small)', '1 food processor', '1 bowl (large)', '1 rubber spatula', 'cutting board', 'knife', '1 pot (large)', '1 slotted spoon']",90
Alex Hiller,Contributor,0,964.0,159.0,g,Hard,,Homemade tortellini with mushroom and ricotta filling,57.0,g,8,"['pasta dough', 'ricotta cheese', 'egg yolks', 'mushrooms (e.g. chanterelle)', 'pine nuts', 'butter', 'all-purpose flour', 'vegetable stock', 'heavy cream', 'rosemary', 'thyme', 'garlic', 'nutmeg', 'salt', 'pepper', 'flour for work surface']","['300.0', '500.0', '5.0', '250.0', '50.0', '4.0', '4.0', '500.0', '250.0', '2.0', '2.0', '1.0', '0.25', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'tbsp', 'tbsp', 'ml', 'ml', 'sprigs', 'sprigs', 'clove', 'tsp', '', '', '', '']",50,37.0,g,4.5,0,21.0,4,12.0,31745,"['small frying pan', 'cooking spoon', 'cutting board', 'knife', 'large bowl', 'pasta machine', 'circular cutter', 'brush', 'large saucepan', 'sieve', 'small saucepan', 'cooking tongs']",50
Alex Hiller,Contributor,0,465.0,42.0,g,Easy,,Pasta with mini meatballs,25.0,g,41,"['tagliatelle', 'ground pork', 'ground beef', 'garlic (divided)', 'shallots (divided)', 'olive oil (divided)', 'chili flakes', 'oregano', 'breadcrumbs', 'milk', 'crushed tomatoes (canned)', 'fresh basil for serving', 'Parmesan cheese for serving', 'salt', 'pepper']","['300.0', '200.0', '200.0', '3.0', '3.0', '3.0', '1.0', '0.5', '45.0', '5.0', '800.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'cloves', 'tbsp', 'tsp', 'tbsp', 'g', 'tbsp', 'g', '', '', '', '', '']",45,18.0,g,4.5,0,67.0,4,4.0,15000,"['large frying pan', 'cutting board', 'knife', 'large mixing bowl', 'large saucepan', 'colander']",45
Alex Hiller,Contributor,15,416.0,48.0,g,Hard,,Alsatian Tarte Flambée,17.0,g,29,"['all-purpose flour', 'whole rye flour', 'water (lukewarm)', 'fresh yeast', 'egg', 'streaky bacon', 'onion', 'chives', 'crème fraîche', 'olive oil', 'salt', 'pepper', 'flour for work surface']","['170.0', '80.0', '100.0', '20.0', '1.0', '8.0', '1.0', '10.0', '140.0', '15.0', '0.0', '0.0', '0.0']","['g', 'g', 'ml', 'g', 'strips', 'g', 'g', 'ml', '', '', '', '', '']",35,17.0,g,4.5,65,55.0,4,8.0,30544,"['large bowl', 'standing mixer', 'oven', 'cutting board', 'knife', 'kitchen towel', 'small frying pan', 'cooking spoon', 'baking tray', 'parchment paper', 'rolling pin']",115
Vanessa Pass,Contributor,0,766.0,52.0,g,Easy,,Creamy pork and mushroom ragout with rice,41.0,g,61,"['pork tenderloin', 'mushrooms', 'rice', 'parsley', 'onions', 'garlic', 'white wine', 'cream', 'chicken stock', 'water', 'oil for frying', 'sugar', 'salt', 'pepper']","['500.0', '200.0', '240.0', '1.0', '2.0', '1.0', '50.0', '400.0', '200.0', '360.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'tbsp', 'clove', 'ml', 'ml', 'ml', 'ml', '', '', '', '', '']",30,47.0,g,4.5,0,83.0,4,4.0,14312,"['cutting board', 'knife', 'large frying pan', 'large saucepan']",30
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,693.0,49.0,g,Medium,"Spaetzle is a centuries-old culinary tradition from Swabia. The preparation of it is unique and important to Swabian cuisine. It’s always fun to scrape the dough from the cutting board to create spaetzle in a classic way. If you can find lemon thyme, use that instead of thyme for a more citrusy flavor.",Pork and mushroom ragout with spätzle,26.0,g,18,"['pork tenderloin', 'brown mushrooms', 'flour', 'eggs', 'salt', 'water (cold)', 'garlic', 'onion', 'white wine', 'vegetable broth', 'lemon juice', 'thyme', 'unsalted butter', 'salt', 'pepper', 'sugar', 'sour cream (for garnish)']","['1.0', '400.0', '300.0', '4.0', '1.0', '125.0', '1.0', '1.0', '200.0', '400.0', '1.0', '3.0', '1.0', '0.0', '0.0', '0.0', '0.0']","['kg', 'g', 'g', 'tsp', 'ml', 'clove', 'ml', 'ml', 'tsp', 'sprigs', 'tbsp', '', '', '', '', '', '']",45,58.0,g,4.5,0,17.0,5,3.0,5271,"['bowl', '2 frying pans', 'spatula', 'slotted spoon', 'pot']",45
Devan Grimsrud,Managing Editor at Kitchen Stories,0,878.0,71.0,g,Easy,,Chicken marsala with fettuccine,37.0,g,10,"['chicken breasts (boneless', ' skinless)', 'Marsala wine', 'fettuccine', 'button mushrooms', 'shallots', 'garlic', 'sage leaves', 'marjoram', 'parsley', 'lemon', 'flour', 'butter', 'chicken stock', 'heavy cream', 'salt', 'pepper', 'olive oil']","['4.0', '120.0', '400.0', '350.0', '2.0', '2.0', '10.0', '2.0', '3.0', '1.0', '150.0', '5.0', '300.0', '120.0', '0.0', '0.0', '0.0']","['ml', 'g', 'g', 'cloves', 'leaves', 'sprigs', 'sprigs', 'g', 'tbsp', 'ml', 'ml', '', '', '', '', '', '']",45,54.0,g,5.0,0,19.0,4,6.0,4998,"['cutting board', 'knife', 'oven', 'bowl', 'meat tenderizer', 'plastic wrap', 'pot', 'frying pan', 'cooking spoon', 'paper towels', 'colander']",45
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,742.0,36.0,g,Medium,"As the weather is getting colder, this comforting and hearty dish is a perfect dinner choice after a long day. The unique spiciness of fresh horseradish will make your meatballs and mashed potatoes much more interesting.",Horseradish mashed potatoes with meatballs,52.0,g,9,"['horseradish', 'potatoes', 'ground veal', 'onion', 'garlic', 'bread roll', 'milk', 'egg', 'salt', 'butter', 'flour', 'veal stock', 'cream', 'ground nutmeg', 'ground allspice', 'salt', 'pepper', 'vegetable oil (for frying)']","['50.0', '500.0', '400.0', '1.0', '1.0', '1.0', '300.0', '1.0', '2.0', '150.0', '18.0', '200.0', '200.0', '1.25', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'clove', 'ml', 'g', 'g', 'g', 'ml', 'ml', 'g', '', '', '', '', '', '', '']",45,31.0,g,4.0,0,26.0,4,5.0,5752,"['knife', 'cutting board', 'large pot', 'bowl', 'frying pan', 'spatula', 'large bowl', 'cast iron pan', 'ladle', 'potato ricer', 'saucepan', 'fine grater']",45
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,666.0,71.0,g,Easy,"Only three ingredients! Sounds easy, but the simplest dishes with the least ingredients are sometimes known to be the most difficult. With this recipe, the quality of the products is crucial. You should definitely try it with fresh pasta and high quality Pecorino Romano from the Italian deli or specialty shop. The result will be heavenly.",Cacio e Pepe,28.0,g,11,"['Pecorino cheese', 'black peppercorns', 'spaghetti', 'pasta water', 'salt']","['300.0', '2.0', '400.0', '150.0', '0.0']","['g', 'tsp', 'g', 'ml', '']",20,30.0,g,4.0,0,29.0,4,2.0,9523,"['grater', 'large bowl', 'pot (large)', 'tweezers']",20
Mengting,Founder at Kitchen Stories,30,605.0,91.0,g,Easy,,Baked penne with salmon and leeks,31.0,g,44,"['short pasta (e.g. penne)', 'salmon', 'leeks', 'cream cheese', 'vegetable stock', 'Gouda cheese (grated)', 'lemon', 'horseradish (prepared)', 'nutmeg', 'salt', 'pepper', 'olive oil for frying', 'olive oil for greasing']","['250.0', '300.0', '400.0', '200.0', '250.0', '50.0', '0.5', '1.0', '0.25', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'ml', 'g', 'tbsp', 'tsp', '', '', '', '', '']",30,33.0,g,4.5,0,108.0,4,8.0,34657,"['large saucepan', 'sieve', 'oven', 'cutting board', 'knife', 'citrus juicer', 'large frying pan', 'cooking spoon', 'baking dish']",60
Mengting,Founder at Kitchen Stories,0,814.0,85.0,g,Medium,,Risotto with asparagus and chanterelles,35.0,g,58,"['risotto rice (e.g. Arborio rice)', 'chicken stock', 'green asparagus', 'chanterelles (ready to cook)', 'onion', 'garlic', 'white wine', 'Parmesan', 'butter (cubed)', 'sugar', 'salt', 'pepper', 'vegetable oil for frying']","['200.0', '600.0', '200.0', '200.0', '1.0', '1.0', '50.0', '30.0', '40.0', '1.0', '0.0', '0.0', '0.0']","['g', 'ml', 'g', 'g', 'clove', 'ml', 'g', 'g', 'tsp', '', '', '', '']",45,31.0,g,4.5,0,85.0,2,6.0,31831,"['cutting board', 'knife', 'large frying pan', 'cooking spoon', 'small frying pan', 'cheese grater']",45
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,789.0,9.0,g,Easy,"This dish is a quick and easy weeknight dinner that can be served with fresh bread, boiled potatoes, or rice. I love the flavor combination of this  dish: The mild cod fillet meets a fruity tomato sauce, salty-sour capers, and bittersweet tarragon. If you can’t find cod fillet, halibut is a good alternative.",Poached cod in tomato sauce,60.0,g,45,"['cod fillets', 'cherry tomatoes', 'shallot', 'garlic', 'olive oil', 'tomato paste', 'white wine', 'tomato purée', 'unsalted butter', 'capers in brine', 'lemon zest', 'tarragon', 'salt', 'pepper', 'sugar']","['400.0', '10.0', '1.0', '1.0', '2.0', '1.0', '100.0', '50.0', '100.0', '1.0', '1.0', '3.0', '0.0', '0.0', '0.0']","['g', 'clove', 'tsp', 'tsp', 'ml', 'g', 'g', 'tbsp', 'tsp', 'sprigs', '', '', '', '', '']",30,43.0,g,5.0,0,58.0,2,3.0,7680,"['cutting board', 'knife', 'frying pan', 'rubber spatula']",30
Mason,Contributor,14,1593.0,214.0,g,Easy,,Pizza bufalina,54.0,g,93,"['buffalo mozzarella (drained)', 'all-purpose flour', 'water (lukewarm)', 'sugar', 'active dry yeast', 'salt (divided)', 'olive oil (divided)', 'tomato purée', 'basil', 'cherry tomatoes', 'flour', ' for work surface', 'basil', ' for garnish']","['125.0', '250.0', '150.0', '0.5', '3.5', '1.0', '2.0', '150.0', '10.0', '50.0', '0.0', '0.0']","['g', 'g', 'ml', 'tsp', 'g', 'tsp', 'tbsp', 'ml', 'g', 'g', '', '']",20,66.0,g,5.0,120,115.0,1,8.0,21355,"['small measuring cup', 'large mixing bowl', 'kitchen towel', 'oven', 'pizza stone', 'pizza paddle', 'cutting board', 'knife']",154
Yingpin,Community Member,0,375.0,16.0,g,Easy,,Sichuan-style crispy pork belly,23.0,g,54,"['pork belly', 'red bell pepper', 'green bell pepper', 'green onion', 'onion', 'garlic', 'ginger', 'fermented bean paste', 'sugar', 'red chili flakes', 'sweet bean sauce (Tian Mian Jiang)', 'chili sauce', 'soy sauce', 'oil for frying', 'salt', 'pepper']","['500.0', '1.0', '1.0', '1.0', '1.0', '3.0', '10.0', '2.0', '1.0', '2.0', '2.0', '1.0', '1.0', '0.0', '0.0', '0.0']","['g', 'cloves', 'g', 'tbsp', 'tbsp', 'tsp', 'tbsp', 'tbsp', 'tbsp', '', '', '', '', '', '', '']",20,26.0,g,4.5,0,71.0,4,2.0,18952,"['slotted spoon', 'cutting board', 'knife', 'large pot', 'wok']",20
Lisa Schölzel,Senior Food Editor at Kitchen Stories,30,561.0,235.0,g,Medium,"If you don’t own an oven with steam function, you can also prepare this dish using a regular oven (which will add approx.10 min. cooking time more). By adding additional steam, the bread dumplings will become moist and airy.",Spinach and cheese dumplings with tomato-date sauce,117.0,g,25,"['spinach', 'Parmesan cheese', 'tomato paste', 'soft dates', 'ciabatta breads', 'milk', 'eggs', 'onion', 'garlic', 'unsalted butter', 'breadcrumbs', 'water', 'white wine vinegar', 'onion powder', 'garlic powder', 'salt', 'Parmesan cheese (for garnish)', 'parsley (for garnish)']","['250.0', '50.0', '80.0', '60.0', '250.0', '125.0', '2.0', '1.0', '2.0', '100.0', '50.0', '60.0', '1.0', '0.5', '0.5', '0.25', '0.0', '0.0']","['g', 'g', 'g', 'g', 'g', 'ml', 'cloves', 'g', 'g', 'ml', 'tbsp', 'tsp', 'tsp', 'tsp', '', '', '', '']",25,77.0,g,5.0,30,17.0,4,6.0,5060,"['oven with steam function', '2 cutting boards', '2 knives', 'saucepan', '2 bowls', 'whisk', 'large bowl', '2 steaming tray', '2 frying pans', 'fine grater', 'food processor']",85
Alex Hiller,Contributor,20,1079.0,140.0,g,Easy,,Original Italian Pizza,35.0,g,61,"['all-purpose flour', 'dried yeast', 'lukewarm water', 'sugar', 'olive oil', 'garlic', 'onion', 'puréed tomatoes (canned)', 'Buffalo mozzarella', 'arugula leaves', 'Parma ham', 'figs', 'salt', 'pepper', 'flour for work surface']","['280.0', '7.0', '150.0', '4.0', '20.0', '1.0', '0.5', '250.0', '125.0', '20.0', '100.0', '3.0', '0.0', '0.0', '0.0']","['g', 'g', 'ml', 'tsp', 'ml', 'clove', 'ml', 'g', 'g', 'g', '', '', '', '', '']",15,47.0,g,4.5,60,80.0,2,9.0,39737,"['measuring cup', 'mixer with dough hooks (optional)', 'large bowl', 'kitchen towel', 'cutting board', 'knife', 'cooking spoon', 'small sauce pan', 'baking tray', 'oven', 'parchment paper', 'rolling pin', 'soup ladle']",95
Devan Grimsrud,Managing Editor at Kitchen Stories,165,1568.0,37.0,g,Easy,"Based on a recipe in Smitten Kitchen Everyday by Deb Perelman, these sticky, umami, fall-off-the-bone ribs might not make it to the weeknight table, but make a great, hands-off meal for the weekend. They make a great case for eating more ribs outside of grilling season, and are so incredibly easy to make—they’re foolproof.",5-ingredient honey-miso ribs,119.0,g,16,"['pork ribs', 'white miso paste', 'honey', 'rice vinegar', 'scallions', 'salt', 'pepper', 'jasmine rice (for serving)']","['2.0', '145.0', '80.0', '150.0', '10.0', '0.0', '0.0', '0.0']","['kg', 'g', 'ml', 'ml', '', '', '', '']",30,83.0,g,5.0,0,13.0,4,4.0,5280,"['knife', 'cutting board', 'oven', '2 aluminum foil', 'bowl (small)', 'paper towels', 'whisk', 'saucepan', 'pastry brush', 'tongs', 'pot']",195
Alex Hiller,Contributor,0,447.0,26.0,g,Easy,,Vietnamese-inspired noodle soup,27.0,g,46,"['beef stock', 'stewing beef (e.g.', ' chuck or shank)', 'beef (loin)', 'rice noodles (broad)', 'carrot', 'garlic', 'ginger', 'green onions', 'fennel seed (ground)', 'chilis', 'fish sauce', 'cilantro', 'salt', 'pepper', 'vegetable oil for frying']","['1.5', '400.0', '300.0', '150.0', '1.0', '2.0', '2.0', '3.0', '1.0', '2.0', '50.0', '10.0', '0.0', '0.0', '0.0']","['l', 'g', 'g', 'g', 'cloves', 'tbsp', 'stalks', 'tbsp', 'ml', 'g', '', '', '', '', '']",50,26.0,g,4.5,0,87.0,6,3.0,37064,"['cutting board', 'knife', 'large saucepan', 'cooking spoon']",50
Vanessa Pass,Contributor,0,428.0,44.0,g,Easy,,One-pot red pepper pasta with chicken,13.0,g,71,"['chicken breasts (boneless', ' skinless)', 'bacon', 'red bell peppers', 'cherry tomatoes', 'onion', 'garlic', 'olive oil', 'dried oregano', 'sugar', 'white wine', 'chicken broth', 'tomato purée', 'penne pasta', 'Parmesan cheese for serving', 'basil for serving', 'salt', 'pepper']","['350.0', '100.0', '2.0', '100.0', '1.0', '1.0', '2.0', '1.0', '1.0', '150.0', '300.0', '500.0', '300.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'clove', 'tbsp', 'tsp', 'tsp', 'ml', 'ml', 'ml', 'g', '', '', '', '', '', '']",30,28.0,g,4.5,0,79.0,6,2.0,17306,"['pot', 'cooking spoon', 'cutting board', 'knife', 'fine grater']",30
Goodnes,Community Member,30,290.0,2.0,g,Easy,,Baked pesto chicken,13.0,g,30,"['chicken breast halves (boneless', ' skinless)', 'plum tomatoes', 'pesto', 'mozzarella cheese (shredded)', 'fresh basil for serving']","['4.0', '2.0', '75.0', '60.0', '0.0']","['g', 'g', '', '', '']",10,38.0,g,4.5,0,70.0,4,4.0,9739,"['medium bowl', 'oven', 'rubber spatula', 'cutting board', 'knife', 'ovenproof frying pan or baking sheet', 'aluminum foil (optional)']",40
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,30,636.0,28.0,g,Easy,"We cut our salmon into larger pieces, so it doesn't get dry. To make it pescatarian, use vegetable stock instead of chicken stock.",Salmon pot pie,41.0,g,8,"['salmon fillets', 'dried shiitake mushrooms', 'leek', 'peas', 'carrots', 'broccoli', 'garlic', 'dill', 'chicken stock', 'white wine', 'cream', 'butter', 'olive oil', 'flour', 'egg yolk', 'ground nutmeg', 'puff pastry', 'salt', 'pepper']","['500.0', '250.0', '0.5', '200.0', '2.0', '150.0', '1.0', '5.0', '400.0', '100.0', '60.0', '60.0', '1.0', '2.0', '1.0', '0.25', '1.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'clove', 'sprigs', 'ml', 'ml', 'ml', 'g', 'tbsp', 'tbsp', 'tsp', 'sheet', '', '', '', '', '']",15,36.0,g,4.5,0,10.0,4,4.0,1472,"['knife', 'cutting board', 'saucepan', 'whisk', 'oven', 'frying pan (large)', 'rubber spatula', 'baking dish', 'pastry brush']",45
Devan Grimsrud,Managing Editor at Kitchen Stories,0,961.0,114.0,g,Easy,,"Swiss chard, Italian sausage, and white bean pasta",33.0,g,17,"['Swiss chard', 'Italian sausages', 'canned white beans (drained)', 'paccheri', 'rosemary', 'shallots', 'white wine', 'butter', 'pasta water', 'Parmesan cheese (grated)', 'salt', 'pepper', 'olive oil (for frying)', 'Parmesan cheese (grated', ' for serving)']","['400.0', '300.0', '250.0', '500.0', '2.0', '2.0', '100.0', '2.0', '250.0', '100.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'sprigs', 'ml', 'tbsp', 'ml', 'g', '', '', '', '', '']",50,46.0,g,4.5,0,18.0,4,5.0,3652,"['knife', 'cutting board', 'bowl', 'frying pan (large)', 'cooking spoon', 'pot (large)', 'bowl (small)', 'sieve']",50
Sandra Schumann,Contributor,0,609.0,21.0,g,Easy,,Pineapple chicken curry,40.0,g,47,"['pineapple', 'chicken breast', 'cilantro', 'ginger', 'garlic', 'curry powder', 'ground turmeric', 'yogurt', 'bell pepper', 'red onion', 'cashews', 'vegetable oil', 'coconut milk', 'salt', 'chili flakes', 'lime juice to taste', 'cilantro for serving', 'fried onions for serving', 'rice for serving']","['0.5', '500.0', '10.0', '30.0', '3.0', '3.0', '1.5', '150.0', '1.0', '1.0', '100.0', '2.0', '400.0', '1.0', '1.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'cloves', 'tsp', 'tsp', 'g', 'g', 'tbsp', 'ml', 'tsp', 'tsp', '', '', '', '', '', '', '']",45,41.0,g,4.5,120,55.0,4,4.0,7042,"['garlic press', 'plastic wrap', 'fine grater', 'large bowl', 'rubber spatula', 'cutting board', 'knife', 'frying pan', 'cooking spoon']",165
Team,Editors at Kitchen Stories,0,297.0,53.0,g,Easy,,Simple potato pancakes,4.0,g,9,"['potatoes (waxy)', 'onions', 'salt', 'pepper', 'nutmeg (ground)', 'eggs', 'all-purpose flour', 'vegetable oil for frying (approx. 150ml)', 'smoked salmon for serving', 'sour cream for serving']","['500.0', '2.0', '1.0', '0.25', '0.25', '2.0', '180.0', '0.0', '0.0', '0.0']","['g', 'tsp', 'tsp', 'tsp', 'g', '', '', '', '', '']",30,11.0,g,4.0,10,32.0,4,4.0,20478,"['vegetable peeler', 'large bowl', 'cutting board', 'knife', 'grater', 'rubber spatula', 'frying pan', 'plate', 'ice cream scoop', 'paper towel']",40
Kristin Bothor,Managing Editor at Kitchen Stories,0,663.0,50.0,g,Easy,"You will fall in love with this sauce! The sweetness of honey pairs wonderfully with the flavors of ginger and garlic. Instead of celery root purée, you can also serve the shrimp with creamy polenta.",Shrimp with hot honey sauce and celery root purée,40.0,g,7,"['shrimp (peeled and deveined)', 'Langnese Acacia Honey', 'celery roots', 'garlic', 'ginger', 'soy sauce', 'chili oil', 'chili sauce', 'chili flakes', 'pepper', 'water', 'cream', 'butter', 'coconut oil', 'sesame oil', 'salt', 'cilantro (for garnish)']","['800.0', '125.0', '800.0', '6.0', '15.0', '50.0', '1.0', '0.5', '0.5', '0.5', '300.0', '100.0', '50.0', '3.0', '2.0', '0.0', '0.0']","['g', 'g', 'g', 'cloves', 'g', 'ml', 'tbsp', 'tsp', 'tsp', 'tsp', 'ml', 'ml', 'g', 'tbsp', 'tsp', '', '']",50,33.0,g,5.0,0,23.0,4,4.0,2475,"['cutting board', 'knife', '1 bowl', '1 whisk', 'pot (large)', 'colander', '1 immersion blender', '2 rubber spatulas', '1 frying pan']",50
